ZdcId;ZdCXEpsg2154;ZdCYEpsg2154;liftReason;liftStatus;liftMode;liftId;LiftPrivateId;liftSituation;liftDirection;liftStateUpdate;LiftState;ZdcName;ZdcCentroid
69759;648616;6850757;;available;RapidTransit;286;PMR 1 AQ-ANTPMR1;Salle d échange - Quai 1;Sud;2024-04-16T16:09:00+02:00;1;Antony;48.7548758416019,2.3010503411122687
70133;648069;6854430;;available;RapidTransit;258;FONTPBS2;Salle d échange - Quai 2;Nord;2024-04-16T16:09:00+02:00;1;Fontenay-aux-Roses;48.78786529424292,2.293162956687924
70427;651079;6856694;;available;RapidTransit;330;E 1868/04/01;Salle d echange - Quai 1;Sud;2024-04-16T16:09:00+02:00;1;Laplace;48.80846155750887,2.3338703533397096
70427;651079;6856694;;available;RapidTransit;331;E 1869/04/01;Salle d echange - Quai 2;Nord;2024-04-16T16:09:00+02:00;1;Laplace;48.80846155750887,2.3338703533397096
71410;652780;6864741;undefinedEquipmentProblem;notavailable;RapidTransit;135;2103;Niveau +1 <> Niveau 0 <> Niveau -1;Niveau +1 Gare Routière             Niveau -1 RER B - D - E;2024-04-16T16:09:00+02:00;4;Gare du Nord;48.880955082573905,2.356137437142568
72652;660077;6870460;;available;RapidTransit;422;2021;Voies 2B/1;PARIS;2024-04-16T16:10:00+02:00;1;Drancy;48.93287739390603,2.4550932250684467
73439;665894;6870681;;available;RapidTransit;1075;271429 - ASC.PMR 2610;Voie 1/2B - Quai 2;Province;2024-04-16T16:09:00+02:00;1;Sevran - Livry;48.935199399190424,2.5344693500102795
73439;665894;6870681;;available;RapidTransit;1076;271429 - ASC.PMR 2611;Voie 1B - Quai 3;Province;2024-04-16T16:09:00+02:00;1;Sevran - Livry;48.935199399190424,2.5344693500102795
73482;668305;6871723;;available;RapidTransit;467;2212;Quai 2 / voies 2bis / 1;Paris (Mitry);2024-04-16T16:10:00+02:00;1;Vert Galant;48.944692772329894,2.5672997298890348
73568;664419;6874988;;available;RapidTransit;119;2010;Hall <> Quai 1;Aéroport CDG;2024-04-16T16:09:00+02:00;1;Parc des Expositions;48.973849053517704,2.513974953500383
73568;664419;6874988;;available;RapidTransit;120;2011;Hall <> Quai 2;Paris / RER B Sud;2024-04-16T16:09:00+02:00;1;Parc des Expositions;48.973849053517704,2.513974953500383
73620;651892;6861617;;available;RapidTransit;824;SMI3;Tete quai 1;Sortie St. André des arts (CR212);2024-04-16T16:07:00+02:00;1;Saint-Michel Notre-Dame;48.85279579845919,2.3443834422101286
70143;653458;6854359;;available;Tramway;794;PBS3;Quai 72,SA200;SA200 SORTIE, QUAI 72 La Courneuve;2024-04-16T16:07:00+02:00;1;Villejuif - Louis Aragon;48.78763810117338,2.3665174950300973
70143;653458;6854359;liftFailure;notavailable;Tramway;800;PBS5;CR 201, Ext;SORTIE Rue GORKI;2024-04-16T16:07:00+02:00;2;Villejuif - Louis Aragon;48.78763810117338,2.3665174950300973
73753;653444;6851180;;;Tramway;1122;ASC01/ASC02 - EQ11-A005-000000368/EQ11-A005-000000369;accès NORD / salle d'accueil NORD;;;;Porte de Thiais;48.759046487560965,2.3666739877043614
73753;653444;6851180;;;Tramway;1127;ASC11/ASC12 - EQ11-A005-000000378/EQ11-A005-000000379;toiture / salle d'accueil SUD / transit SUD;;;;Porte de Thiais;48.759046487560965,2.3666739877043614
422420;638914;6856511;;available;Tramway;978;382887 - ASC.PMR 3079;Voie 2;Paris;2024-04-16T16:11:00+02:00;1;Viroflay Rive Droite;48.80577812424469,2.168263692554061
63923;639143;6855957;liftFailure;notavailable;Tramway;552;PBS3;VRG MZB/Surface;mezzanine;2024-04-16T16:09:00+02:00;2;Viroflay Rive Gauche;48.8008175765801,2.1714606334807907
72285;652840;6870139;;available;Tramway;321;PMR1 AQ-SDPPA1;Salle d échange - Quai;Sortie Uniquement;2024-04-16T16:08:00+02:00;1;Saint-Denis - Porte de Paris;48.929501064881705,2.356355572635658
72323;652061;6870776;;available;Tramway;1092;271015 - ASC.PMR 2606;Voie 5-6 - Quai 4;Paris/Province;2024-04-16T16:09:00+02:00;1;Saint-Denis;48.935171574002126,2.345652142289722
65227;650785;6873371;;available;Tramway;620;PMR 2255;Côté BV T11 Quai 1;BOURGET(LE);2024-04-16T16:11:00+02:00;1;Épinay - Villetaneuse;48.95840983032866,2.3279346256054603
65227;650785;6873371;;available;Tramway;984;271122 - ASC.PMR 2066;Quai B;Paris/Province;2024-04-16T16:11:00+02:00;1;Épinay - Villetaneuse;48.95840983032866,2.3279346256054603
65227;650785;6873371;;available;Tramway;985;271122 - ASC.PMR 2067;Quai C;Province;2024-04-16T16:11:00+02:00;1;Épinay - Villetaneuse;48.95840983032866,2.3279346256054603
65227;650785;6873371;;available;Tramway;986;271122 - ASC.PMR 2068;Quai Arcade;Province;2024-04-16T16:11:00+02:00;1;Épinay - Villetaneuse;48.95840983032866,2.3279346256054603
72641;657905;6870271;;available;Tramway;414;2019;Quai 2;Paris;2024-04-16T16:10:00+02:00;1;Le Bourget;48.93103938762575,2.4254675081764994
72641;657905;6870271;undefinedEquipmentProblem;notavailable;Tramway;647;PMR 2285;Quai 1;TERMINUS;2022-08-26T22:12:00+02:00;4;Le Bourget;48.93103938762575,2.4254675081764994
72641;657905;6870271;;available;Tramway;650;PMR 2286;Quai 2;EPINAY SUR SEINE;2024-04-16T16:11:00+02:00;1;Le Bourget;48.93103938762575,2.4254675081764994
64382;630423;6863522;undefinedEquipmentProblem;notavailable;Tramway;162;3090;Passerelle <> Quai 2;Noisy-le-Roi;2019-12-06T16:41:00+01:00;4;Saint-Nom-la-Bretèche Forêt de Marly;48.867965850875954,2.051515547046897
64589;633666;6866974;;available;Tramway;219;AQ-SGLPMR3;Rue de la Surintendance - Salle d échange;;2024-04-16T16:09:00+02:00;1;Saint-Germain-en-Laye;48.899349756240305,2.0951814549394174
60450;657829;6836288;;available;Tramway;48;5001;Hall <> Quai 1;Corbeil-Essonnes;2024-04-16T16:10:00+02:00;1;Évry - Courcouronnes;48.625405362673014,2.427791286942072
63244;645544;6847442;;available;Tramway;486;MAPA PMR5-CR227;Quai 1;Sud;2024-04-16T16:09:00+02:00;1;Massy - Palaiseau;48.72480971626525,2.2596886627663513
63244;645544;6847442;;available;Tramway;487;MAPA PMR6-CR237;Voirie (gare routière);;2024-04-16T16:09:00+02:00;1;Massy - Palaiseau;48.72480971626525,2.2596886627663513
71223;652072;6861896;;available;Metro;710;CITE3;Tête quai 1;Salle d'Accès;2024-04-16T16:07:00+02:00;1;Cité;48.85531823894101,2.3468049207847352
473829;647885;6861802;;available;Metro;373;BIRHAS1;Salle d'échange - Quai 1;Charles de Gaulle - Etoile;2024-04-16T16:07:00+02:00;1;Bir-Hakeim;48.854147821522425,2.2897561403898874
70645;652856;6858167;;;Metro;1115;ASC01/ASC03 - EQ11-A005-000000358/ EQ11-A005-000000360;salle d'accueil / mezzanine / quai QX2 Orly;Aéroport d'Orly;;;Maison Blanche;48.82184097797359,2.357902579403502
69884;660631;6852236;;available;Metro;446;PMR2;Accès - Quai 2;Balard;2024-04-16T16:08:00+02:00;1;Pointe du Lac;48.76902230369927,2.4643418472937433
71785;659092;6862624;;available;Metro;740;MMON ASC 2;QX092;QUAI DEPART;2024-04-16T16:08:00+02:00;1;Mairie de Montreuil;48.862349112606985,2.4424046971684503
71870;655879;6864078;;;Metro;1087;ASC 01 - PMR;Palier CR au bout des 2 quais - Edicule en voirie;;;;Télégraphe;48.87521266293494,2.3984606497150964
74041;653500;6867580;;available;Metro;716;F POP PBS1;Quai 1 et Salle d'Accès;Sortie;2024-04-16T16:08:00+02:00;1;Front Populaire;48.9065375130358,2.36564350156231
71557;653543;6858743;;available;Metro;268;OLY ASC_0002;Salle d échange - Quai 2;Saint-Lazare;2024-04-16T16:08:00+02:00;1;Olympiades;48.8270709242308,2.3671961906938956
71607;654587;6860063;;available;Metro;928;ASC 05;Salle des Billets SA 230 / Quai 2;St Lazare;2024-04-16T16:08:00+02:00;1;Bercy;48.83901624451493,2.381275335129965
71607;654587;6860063;;available;Metro;931;ASC 06;Voirie / Salle des Billets SA 230;St Lazare / Olympiades;2024-04-16T16:08:00+02:00;1;Bercy;48.83901624451493,2.381275335129965
72168;651207;6868264;;available;Metro;1012;EQ11-A005-000000277;QX141;;2024-04-16T16:08:00+02:00;1;Mairie de Saint-Ouen;48.91251861388204,2.3342850030689686
72168;651207;6868264;;available;Metro;1014;EQ11-A005-000000279;QX142;;2024-04-16T16:08:00+02:00;1;Mairie de Saint-Ouen;48.91251861388204,2.3342850030689686
73788;651162;6863131;;available;Metro;315;PYR ASC_00003;Salle d échange - Quai 1;Olympiades;2024-04-16T16:08:00+02:00;1;Pyramides;48.866356075018246,2.334261506174281
71828;656092;6863328;;available;Metro;755;PEL1;Accès rez de voirie;Salle d'accès puis escalier pour L3bis;2024-04-16T16:07:00+02:00;1;Pelleport;48.8684826000435,2.4014420593569095
