ArRId;ArRVersion;ArRCreated;ArRChanged;ArRName;ArRType;ArRPublicCode;ArRXEpsg2154;ArRYEpsg2154;ZdAId;ArRGeopoint;ArRTown;ArRPostalRegion;ArRAccessibility;ArRAudibleSignals;ArRVisualSigns;ArRFareZone
471166;1075175-1089004;2019-03-07T18:21:50+01:00;2019-03-11T18:28:32+01:00;Chaumont-en-Vexin;rail;2;617973;6907427;411345;49.261230429325536, 1.8732765800368543;Chaumont-en-Vexin;60143;partial;unknown;unknown;
41210;1088791-58757;2014-12-29T00:00:00+01:00;2019-03-11T17:40:09+01:00;Champ de Mars Tour Eiffel;rail;-;647878;6862058;58757;48.856449431155, 2.289630178364846;Paris 15e;75115;partial;unknown;unknown;
471336;1075829-1533684;2019-03-07T18:32:04+01:00;2019-03-11T17:35:53+01:00;Champ de Courses d'Enghien;rail;1;648036;6875779;46477;48.979846096864065, 2.2901014488118565;Eaubonne;95203;partial;unknown;unknown;4
41368;1088591-1085348;2014-12-29T00:00:00+01:00;2019-03-11T17:24:48+01:00;Gare de Cesson;rail;-;670086;6829480;42516;48.564854006633695, 2.5945744661209345;Cesson;77067;partial;unknown;unknown;
472400;1080110-1119570;2019-03-07T20:02:43+01:00;2019-03-11T15:55:54+01:00;Deuil - Montmagny;rail;2;651575;6875319;473159;48.97598618497595, 2.3384992767461266;Deuil-la-Barre;95197;partial;unknown;unknown;4
411425;412546-1119570;2015-01-26T15:06:53+01:00;2019-03-11T15:55:54+01:00;Gare de Deuil Montmagny;rail;-;651521;6875299;473159;48.975808659908225, 2.337765298627459;Deuil-la-Barre;95197;partial;unknown;unknown;
41183;1088022-47790;2014-12-29T00:00:00+01:00;2019-03-11T15:34:52+01:00;Gare de Bougival;rail;-;636310;6861877;47790;48.8537865445043, 2.1320145122908576;La Celle-Saint-Cloud;78126;partial;unknown;unknown;
411331;1087981-1087996;2015-01-26T00:00:00+01:00;2019-03-11T15:28:17+01:00;Gare de Boran sur Oise;rail;-;653483;6896510;411332;49.16665767464301, 2.3622316508821783;Boran-sur-Oise;60086;partial;unknown;unknown;
472881;1082092-1347553;2019-03-07T20:55:11+01:00;2019-03-11T15:21:38+01:00;Bondy;rail;F;661873;6866096;43096;48.89374285389738, 2.479998250561666;Bondy;93010;partial;unknown;unknown;3
471074;1074828-1119779;2019-03-07T18:16:39+01:00;2019-03-11T15:13:50+01:00;Nogent - Le Perreux;rail;D;662856;6860110;46552;48.83996857750404, 2.493927927756679;Nogent-sur-Marne;94052;partial;unknown;unknown;3
41242;1087547-1087585;2014-12-29T00:00:00+01:00;2019-03-11T14:49:14+01:00;Gare de Bièvres;rail;-;642371;6850371;43091;48.750876961180936, 2.2161643523465533;Bièvres;91064;partial;unknown;unknown;
41231;1087213-1087251;2014-12-29T00:00:00+01:00;2019-03-11T12:24:09+01:00;Gare de Beynes;rail;-;617506;6862810;46857;48.86004311144219, 1.8755945002179821;Beynes;78062;partial;unknown;unknown;
41392;1086932-1086892;2014-12-29T00:00:00+01:00;2019-03-11T11:44:59+01:00;Gare de Bagneaux sur Loing;rail;-;678021;6792158;47119;48.22939807865669, 2.704022124956683;Bagneaux-sur-Loing;77016;partial;unknown;unknown;
470977;1074447-1086892;2019-03-07T18:11:12+01:00;2019-03-11T11:43:54+01:00;Bagneaux-sur-Loing;rail;2;678017;6792156;47119;48.22937992479038, 2.703958932459261;Bagneaux-sur-Loing;77016;partial;unknown;unknown;5
472538;1080677-1086929;2019-03-07T20:17:19+01:00;2019-03-11T11:39:44+01:00;Maintenon;rail;2BIS;596209;6832807;59302;48.587147556332205, 1.5926498374324614;Maintenon;28227;partial;unknown;unknown;
472158;1079136-1086929;2019-03-07T19:38:45+01:00;2019-03-11T11:39:44+01:00;Maintenon;rail;1BIS;596221;6832782;59302;48.58692463348372, 1.5928185569339197;Maintenon;28227;partial;unknown;unknown;
471355;1075900-45447;2019-03-07T18:33:19+01:00;2019-03-11T11:38:24+01:00;Avenue Henri Martin;rail;1;646619;6863074;45447;48.86548301426137, 2.2723438117827834;Paris 16e;75116;partial;unknown;unknown;1
471843;1077847-45437;2019-03-07T19:09:41+01:00;2019-03-11T11:34:55+01:00;Avenue Foch;rail;2;646800;6863558;45437;48.86985047485574, 2.274750355484748;Paris 16e;75116;partial;unknown;unknown;1
41157;1086068-1086042;2014-12-29T00:00:00+01:00;2019-03-10T17:38:19+01:00;Gare de Bréval;rail;-;593192;6872478;43100;48.94339449715638, 1.5418271191077568;Bréval;78107;partial;unknown;unknown;
